type,risk,maptype,mapping
prescription,10,primary,Furosemide 40 MG Oral Tablet
prescription,10,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,10,primary,GABAPENTIN 100 mg ORAL CAPSULE
prescription,10,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,10,primary,AMLODIPINE BESYLATE 10 mg ORAL TABLET
prescription,10,primary,Lorazepam 1 MG Oral Tablet
prescription,10,primary,Metformin Hydrochloride 500 MG Oral Tablet
prescription,10,primary,"ASPIRIN 81MG TAB,EC"
prescription,10,primary,Lisinopril 10 MG Oral Tablet
prescription,10,primary,IBUPROFEN 600 mg ORAL TABLET
prescription,10,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,10,primary,Cephalexin 500 MG Oral Capsule
prescription,10,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,10,primary,Ranitidine 150 MG Oral Tablet
prescription,10,primary,Metformin Hydrochloride 1000 MG Oral Tablet
prescription,10,primary,Cyclobenzaprine Hydrochloride 10 MG Oral Tablet
prescription,10,primary,CETIRIZINE HYDROCHLORIDE 10 mg ORAL TABLET
prescription,10,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,10,primary,Amlodipine 10 MG Oral Tablet
prescription,10,primary,Furosemide 20 MG Oral Tablet
prescription,10,primary,Gabapentin 600 MG Oral Tablet
prescription,10,primary,NAPROXEN 500 mg ORAL TABLET
prescription,10,primary,Lisinopril 40 MG Oral Tablet
prescription,10,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,10,primary,AMLODIPINE BESYLATE 5 mg ORAL TABLET
prescription,10,primary,HYDROCODONE BITARTRATE/ACETAMINOPHEN 5 mg-325 mg ORAL TABLET
prescription,10,primary,GABAPENTIN 300MG CAP
prescription,10,primary,TRAMADOL HCL 50 mg ORAL TABLET
prescription,10,primary,Ibuprofen 800 MG Oral Tablet
prescription,10,primary,Acetaminophen/Hydrocodone Bitartrate 325 MG-5 MG Oral Tablet
prescription,10,primary,LORATADINE 10MG TAB
prescription,10,primary,PROMETHAZINE HYDROCHLORIDE 25 mg ORAL TABLET
prescription,10,primary,ACETAMINOPHEN 500MG TAB
prescription,0,secondary,Cephalexin 500 MG Oral Capsule
prescription,0,secondary,Amoxicillin 500 MG Oral Capsule
prescription,0,secondary,Ibuprofen 600 MG Oral Tablet
prescription,0,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,0,secondary,Naproxen 500 MG Oral Tablet
prescription,0,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,0,secondary,Ibuprofen 800 MG Oral Tablet
prescription,0,secondary,Prednisone 20 MG Oral Tablet
prescription,0,secondary,SULFAMETHOXAZOLE 800 mg / TRIMETHOPRIM 160 mg ORAL TABLET
prescription,1,secondary,CEPHALEXIN 500 mg ORAL CAPSULE
prescription,1,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,1,secondary,IBUPROFEN 600 mg ORAL TABLET
prescription,1,secondary,Amoxicillin 500 MG Oral Capsule
prescription,1,secondary,Ibuprofen 800 MG Oral Tablet
prescription,1,secondary,naproxen 500 mg ORAL TABLET
prescription,1,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,1,secondary,Cyclobenzaprine Hydrochloride 10 MG Oral Tablet
prescription,1,secondary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,2,secondary,Cephalexin 500 MG Oral Capsule
prescription,2,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,2,secondary,AMOXICILLIN 500 mg ORAL CAPSULE
prescription,2,secondary,IBUPROFEN 600 mg ORAL TABLET
prescription,2,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,2,secondary,Naproxen 500 MG Oral Tablet
prescription,2,secondary,Ibuprofen 800 MG Oral Tablet
prescription,2,secondary,SULFAMETHOXAZOLE 800 mg / TRIMETHOPRIM 160 mg ORAL TABLET
prescription,2,secondary,Cyclobenzaprine hydrochloride 10 MG Oral Tablet
prescription,3,secondary,Cephalexin 500 MG Oral Capsule
prescription,3,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,3,secondary,Amoxicillin 500 MG Oral Capsule
prescription,3,secondary,IBUPROFEN 600 mg ORAL TABLET
prescription,3,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,3,secondary,NAPROXEN 500 mg ORAL TABLET
prescription,3,secondary,Ibuprofen 800 MG Oral Tablet
prescription,3,secondary,Sulfamethoxazole 800 mg / Trimethoprim 160 mg ORAL TABLET
prescription,3,secondary,Cyclobenzaprine hydrochloride 10 MG Oral Tablet
prescription,4,secondary,Cephalexin 500 MG Oral Capsule
prescription,4,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,4,secondary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,4,secondary,Amoxicillin 500 MG Oral Capsule
prescription,4,secondary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,4,secondary,Prednisone 20 MG Oral Tablet
prescription,4,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,4,secondary,Ibuprofen 800 MG Oral Tablet
prescription,4,secondary,IBUPROFEN 600 mg ORAL TABLET
prescription,5,secondary,Cephalexin 500 MG Oral Capsule
prescription,5,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,5,secondary,Amoxicillin 500 MG Oral Capsule
prescription,5,secondary,tramadol hydrochloride 50 MG Oral Tablet
prescription,5,secondary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,5,secondary,Prednisone 20 MG Oral Tablet
prescription,5,secondary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,5,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,5,secondary,Naproxen 500 MG Oral Tablet
prescription,6,secondary,CEPHALEXIN 500 mg ORAL CAPSULE
prescription,6,secondary,AMOXICILLIN 500 mg ORAL CAPSULE
prescription,6,secondary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,6,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,6,secondary,Prednisone 20 MG Oral Tablet
prescription,6,secondary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,6,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,6,secondary,Ibuprofen 800 MG Oral Tablet
prescription,6,secondary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,7,secondary,Cephalexin 500 MG Oral Capsule
prescription,7,secondary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,7,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,7,secondary,Amoxicillin 500 MG Oral Capsule
prescription,7,secondary,Tramadol Hydrochloride 50 MG Oral Tablet
prescription,7,secondary,NAPROXEN 500 mg ORAL TABLET
prescription,7,secondary,Prednisone 20 MG Oral Tablet
prescription,7,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,7,secondary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,8,secondary,CEPHALEXIN 500 mg ORAL CAPSULE
prescription,8,secondary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,8,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,8,secondary,Amoxicillin 500 MG Oral Capsule
prescription,8,secondary,PREDNISONE 20 mg ORAL TABLET
prescription,8,secondary,gabapentin 300 MG Oral Capsule
prescription,8,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,8,secondary,Sulfamethoxazole/Trimethoprim 800 MG-160 MG Oral Tablet
prescription,8,secondary,CEPHALEXIN 500MG CAP
prescription,9,secondary,Cephalexin 500 MG Oral Capsule
prescription,9,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,9,secondary,SULFAMETHOXAZOLE 800 mg / TRIMETHOPRIM 160 mg ORAL TABLET
prescription,9,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,9,secondary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,9,secondary,Tramadol Hydrochloride 50 MG Oral Tablet
prescription,9,secondary,Amoxicillin 500 mg ORAL CAPSULE
prescription,9,secondary,HYDROCODONE BITARTRATE/ACETAMINOPHEN 5 mg-325 mg ORAL TABLET
prescription,9,secondary,Furosemide 20 MG Oral Tablet
prescription,10,secondary,Cephalexin 500 MG Oral Capsule
prescription,10,secondary,gabapentin 300 MG Oral Capsule
prescription,10,secondary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,10,secondary,Lisinopril 10 MG Oral Tablet
prescription,10,secondary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,10,secondary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,10,secondary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,10,secondary,Docusate Sodium 100 MG Oral Capsule
prescription,10,secondary,Prednisone 20 MG Oral Tablet
diagnosis,0,primary,Dental examination
diagnosis,0,primary,Routine infant or child health check
diagnosis,0,primary,Acute upper respiratory infections of unspecified site
diagnosis,0,primary,Influenza
diagnosis,0,primary,Routine general medical examination at a health care facility
diagnosis,0,primary,"Diphtheria-tetanus-pertussis, combined [DTP] [DTaP]"
diagnosis,0,primary,Acute pharyngitis
diagnosis,0,primary,"Allergic rhinitis, cause unspecified"
diagnosis,0,primary,Routine gynecological examination
diagnosis,0,primary,Cough
diagnosis,0,primary,Viral hepatitis
diagnosis,0,primary,"Obesity, unspecified"
diagnosis,0,primary,Rash and other nonspecific skin eruption
diagnosis,0,primary,Venereal disease
diagnosis,0,primary,Unspecified otitis media
diagnosis,0,primary,"Contact dermatitis and other eczema, unspecified cause"
diagnosis,0,primary,Other viral diseases
diagnosis,0,primary,Lumbago
diagnosis,0,primary,Headache
diagnosis,0,primary,Unspecified single disease
diagnosis,0,primary,"Depressive disorder, not elsewhere classified"
diagnosis,0,primary,"Urinary tract infection, site not specified"
diagnosis,0,primary,Tobacco use disorder
diagnosis,0,primary,"Anxiety state, unspecified"
diagnosis,0,primary,Varicella
diagnosis,0,primary,"Abdominal pain, unspecified site"
diagnosis,0,primary,Other malaise and fatigue
diagnosis,0,primary,Other and unspecified hyperlipidemia
diagnosis,0,primary,Dysuria
diagnosis,0,primary,"Constipation, unspecified"
diagnosis,0,primary,Streptococcus pneumoniae [pneumococcus]
diagnosis,0,primary,Measles-mumps-rubella [MMR]
diagnosis,0,primary,Overweight
diagnosis,0,primary,Pain in limb
diagnosis,0,primary,Benign essential hypertension
diagnosis,0,primary,Cervix
diagnosis,0,primary,"Pain in joint, lower leg"
diagnosis,0,primary,"Vaginitis and vulvovaginitis, unspecified"
diagnosis,0,primary,Unspecified essential hypertension
diagnosis,0,primary,Impacted cerumen
diagnosis,0,primary,Screening for lipoid disorders
diagnosis,0,primary,"Asthma, unspecified type, unspecified"
diagnosis,0,primary,"Backache, unspecified"
diagnosis,0,primary,Unspecified viral infection
diagnosis,0,primary,Poliomyelitis
diagnosis,0,primary,Pulmonary tuberculosis
diagnosis,0,primary,Elevated blood pressure reading without diagnosis of hypertension
diagnosis,0,primary,Other atopic dermatitis and related conditions
diagnosis,0,primary,"Acute sinusitis, unspecified"
diagnosis,0,primary,"Hemophilus influenza, type B [Hib]"
diagnosis,0,primary,Other acne
diagnosis,0,primary,Diabetes mellitus
diagnosis,0,primary,Unspecified contraceptive management
diagnosis,0,primary,Streptococcal sore throat
diagnosis,0,primary,Other combinations
diagnosis,0,primary,"Conjunctivitis, unspecified"
diagnosis,0,primary,Acute bronchitis
diagnosis,0,primary,"Fever, unspecified"
diagnosis,0,primary,Diarrhea
diagnosis,0,primary,Other
diagnosis,0,primary,"Pregnancy examination or test, negative result"
diagnosis,0,primary,Esophageal reflux
diagnosis,0,primary,Supervision of other normal pregnancy
diagnosis,0,primary,Dizziness and giddiness
diagnosis,0,primary,"Anemia, unspecified"
diagnosis,0,primary,Other medical examination for administrative purposes
diagnosis,0,primary,Other specified vaccination
diagnosis,0,primary,Counseling NOS
diagnosis,0,primary,"Chest pain, unspecified"
diagnosis,0,primary,Other and unspecified noninfectious gastroenteritis and colitis
diagnosis,0,primary,"Pregnant state, incidental"
diagnosis,0,primary,"Pregnancy examination or test, positive result"
diagnosis,0,primary,Irregular menstrual cycle
diagnosis,0,primary,Acute upper respiratory infections of other multiple sites
diagnosis,0,primary,Colon
diagnosis,0,primary,Examination of eyes and vision
diagnosis,0,primary,Absence of menstruation
diagnosis,1,primary,Dental examination
diagnosis,1,primary,"Depressive disorder, not elsewhere classified"
diagnosis,1,primary,Other and unspecified hyperlipidemia
diagnosis,1,primary,Routine general medical examination at a health care facility
diagnosis,1,primary,Influenza
diagnosis,1,primary,Benign essential hypertension
diagnosis,1,primary,Routine gynecological examination
diagnosis,1,primary,Unspecified essential hypertension
diagnosis,1,primary,Acute upper respiratory infections of unspecified site
diagnosis,1,primary,"Obesity, unspecified"
diagnosis,1,primary,Tobacco use disorder
diagnosis,1,primary,"Anxiety state, unspecified"
diagnosis,1,primary,Lumbago
diagnosis,1,primary,"Allergic rhinitis, cause unspecified"
diagnosis,1,primary,"Diphtheria-tetanus-pertussis, combined [DTP] [DTaP]"
diagnosis,1,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
diagnosis,1,primary,Esophageal reflux
diagnosis,1,primary,"Asthma, unspecified type, unspecified"
diagnosis,1,primary,Colon
diagnosis,1,primary,Cough
diagnosis,1,primary,Other malaise and fatigue
diagnosis,1,primary,Headache
diagnosis,1,primary,Acute pharyngitis
diagnosis,1,primary,Pain in limb
diagnosis,1,primary,"Pain in joint, lower leg"
diagnosis,1,primary,Malignant essential hypertension
diagnosis,1,primary,"Backache, unspecified"
diagnosis,1,primary,Rash and other nonspecific skin eruption
diagnosis,1,primary,"Urinary tract infection, site not specified"
diagnosis,1,primary,"Insomnia, unspecified"
diagnosis,1,primary,Cervix
diagnosis,1,primary,Venereal disease
diagnosis,1,primary,Routine infant or child health check
diagnosis,1,primary,Screening for lipoid disorders
diagnosis,1,primary,"Abdominal pain, unspecified site"
diagnosis,1,primary,Dysuria
diagnosis,1,primary,Elevated blood pressure reading without diagnosis of hypertension
diagnosis,1,primary,"Breast screening, unspecified"
diagnosis,1,primary,Unspecified vitamin D deficiency
diagnosis,1,primary,Diabetes mellitus
diagnosis,1,primary,Overweight
diagnosis,1,primary,"Pain in joint, shoulder region"
diagnosis,1,primary,"Chest pain, unspecified"
diagnosis,1,primary,"Contact dermatitis and other eczema, unspecified cause"
diagnosis,1,primary,Cervicalgia
diagnosis,1,primary,"Vaginitis and vulvovaginitis, unspecified"
diagnosis,1,primary,Unspecified single disease
diagnosis,1,primary,Unspecified acquired hypothyroidism
diagnosis,1,primary,Acute bronchitis
diagnosis,1,primary,Dizziness and giddiness
diagnosis,1,primary,"Constipation, unspecified"
diagnosis,1,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
diagnosis,1,primary,"Acute sinusitis, unspecified"
diagnosis,1,primary,Mixed hyperlipidemia
diagnosis,1,primary,Other abnormal glucose
diagnosis,1,primary,"Major depressive affective disorder, single episode, unspecified"
diagnosis,1,primary,"Bipolar disorder, unspecified"
diagnosis,1,primary,Posttraumatic stress disorder
diagnosis,1,primary,Morbid obesity
diagnosis,1,primary,Unspecified contraceptive management
diagnosis,1,primary,"Pregnancy examination or test, negative result"
diagnosis,1,primary,"Anemia, unspecified"
diagnosis,1,primary,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
diagnosis,1,primary,"Abdominal pain, epigastric"
diagnosis,1,primary,Irregular menstrual cycle
diagnosis,1,primary,Pulmonary tuberculosis
diagnosis,1,primary,Viral hepatitis
diagnosis,1,primary,Other
diagnosis,1,primary,Streptococcus pneumoniae [pneumococcus]
diagnosis,1,primary,Diarrhea
diagnosis,1,primary,Impacted cerumen
diagnosis,1,primary,Disturbance of skin sensation
diagnosis,1,primary,Generalized anxiety disorder
diagnosis,1,primary,Counseling NOS
diagnosis,1,primary,Pure hypercholesterolemia
diagnosis,1,primary,Unspecified otitis media
diagnosis,1,primary,"Pregnant state, incidental"
diagnosis,1,primary,Other specified counseling
diagnosis,2,primary,Dental examination
diagnosis,2,primary,"Depressive disorder, not elsewhere classified"
diagnosis,2,primary,Other and unspecified hyperlipidemia
diagnosis,2,primary,Influenza
diagnosis,2,primary,Benign essential hypertension
diagnosis,2,primary,Unspecified essential hypertension
diagnosis,2,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
diagnosis,2,primary,Tobacco use disorder
diagnosis,2,primary,Acute upper respiratory infections of unspecified site
diagnosis,2,primary,Routine general medical examination at a health care facility
diagnosis,2,primary,"Obesity, unspecified"
diagnosis,2,primary,Lumbago
diagnosis,2,primary,Esophageal reflux
diagnosis,2,primary,"Anxiety state, unspecified"
diagnosis,2,primary,"Allergic rhinitis, cause unspecified"
diagnosis,2,primary,Cough
diagnosis,2,primary,Routine gynecological examination
diagnosis,2,primary,"Diphtheria-tetanus-pertussis, combined [DTP] [DTaP]"
diagnosis,2,primary,Malignant essential hypertension
diagnosis,2,primary,Colon
diagnosis,2,primary,Pain in limb
diagnosis,2,primary,"Asthma, unspecified type, unspecified"
diagnosis,2,primary,"Pain in joint, lower leg"
diagnosis,2,primary,Other malaise and fatigue
diagnosis,2,primary,"Backache, unspecified"
diagnosis,2,primary,"Insomnia, unspecified"
diagnosis,2,primary,Headache
diagnosis,2,primary,Rash and other nonspecific skin eruption
diagnosis,2,primary,Routine infant or child health check
diagnosis,2,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
diagnosis,2,primary,"Urinary tract infection, site not specified"
diagnosis,2,primary,Acute pharyngitis
diagnosis,2,primary,Unspecified vitamin D deficiency
diagnosis,2,primary,"Abdominal pain, unspecified site"
diagnosis,2,primary,"Chest pain, unspecified"
diagnosis,2,primary,"Pain in joint, shoulder region"
diagnosis,2,primary,Unspecified single disease
diagnosis,2,primary,Cervicalgia
diagnosis,2,primary,"Constipation, unspecified"
diagnosis,2,primary,Dysuria
diagnosis,2,primary,Acute bronchitis
diagnosis,2,primary,"Breast screening, unspecified"
diagnosis,2,primary,Mixed hyperlipidemia
diagnosis,2,primary,Unspecified acquired hypothyroidism
diagnosis,2,primary,"Major depressive affective disorder, single episode, unspecified"
diagnosis,2,primary,Dizziness and giddiness
diagnosis,2,primary,"Contact dermatitis and other eczema, unspecified cause"
diagnosis,2,primary,Other abnormal glucose
diagnosis,2,primary,Elevated blood pressure reading without diagnosis of hypertension
diagnosis,2,primary,Overweight
diagnosis,2,primary,Cervix
diagnosis,2,primary,Long-term (current) use of other medications
diagnosis,2,primary,Screening for lipoid disorders
diagnosis,2,primary,Other chronic pain
diagnosis,2,primary,Posttraumatic stress disorder
diagnosis,2,primary,Streptococcus pneumoniae [pneumococcus]
diagnosis,2,primary,"Acute sinusitis, unspecified"
diagnosis,2,primary,Morbid obesity
diagnosis,2,primary,"Bipolar disorder, unspecified"
diagnosis,2,primary,Diabetes mellitus
diagnosis,2,primary,"Chronic airway obstruction, not elsewhere classified"
diagnosis,2,primary,Edema
diagnosis,2,primary,Venereal disease
diagnosis,2,primary,Diarrhea
diagnosis,2,primary,"Anemia, unspecified"
diagnosis,2,primary,Attention deficit disorder with hyperactivity
diagnosis,2,primary,"Pain in joint, pelvic region and thigh"
diagnosis,2,primary,"Vaginitis and vulvovaginitis, unspecified"
diagnosis,2,primary,Disturbance of skin sensation
diagnosis,2,primary,Chronic pain syndrome
diagnosis,2,primary,Other specified counseling
diagnosis,2,primary,Impacted cerumen
diagnosis,2,primary,"Bronchitis, not specified as acute or chronic"
diagnosis,2,primary,"Myalgia and myositis, unspecified"
diagnosis,2,primary,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
diagnosis,2,primary,Other abnormal blood chemistry
diagnosis,2,primary,Pure hypercholesterolemia
diagnosis,2,primary,Viral hepatitis
diagnosis,3,primary,Other and unspecified hyperlipidemia
diagnosis,3,primary,Benign essential hypertension
diagnosis,3,primary,Unspecified essential hypertension
diagnosis,3,primary,"Depressive disorder, not elsewhere classified"
diagnosis,3,primary,Influenza
diagnosis,3,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
diagnosis,3,primary,Dental examination
diagnosis,3,primary,Tobacco use disorder
diagnosis,3,primary,Esophageal reflux
diagnosis,3,primary,Lumbago
diagnosis,3,primary,"Obesity, unspecified"
diagnosis,3,primary,Routine general medical examination at a health care facility
diagnosis,3,primary,Acute upper respiratory infections of unspecified site
diagnosis,3,primary,Malignant essential hypertension
diagnosis,3,primary,Cough
diagnosis,3,primary,"Anxiety state, unspecified"
diagnosis,3,primary,Pain in limb
diagnosis,3,primary,Colon
diagnosis,3,primary,"Allergic rhinitis, cause unspecified"
diagnosis,3,primary,"Diphtheria-tetanus-pertussis, combined [DTP] [DTaP]"
diagnosis,3,primary,"Pain in joint, lower leg"
diagnosis,3,primary,Routine gynecological examination
diagnosis,3,primary,Other malaise and fatigue
diagnosis,3,primary,"Backache, unspecified"
diagnosis,3,primary,"Asthma, unspecified type, unspecified"
diagnosis,3,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
diagnosis,3,primary,"Insomnia, unspecified"
diagnosis,3,primary,Unspecified vitamin D deficiency
diagnosis,3,primary,Headache
diagnosis,3,primary,"Chest pain, unspecified"
diagnosis,3,primary,Rash and other nonspecific skin eruption
diagnosis,3,primary,"Pain in joint, shoulder region"
diagnosis,3,primary,"Urinary tract infection, site not specified"
diagnosis,3,primary,"Constipation, unspecified"
diagnosis,3,primary,"Abdominal pain, unspecified site"
diagnosis,3,primary,Acute bronchitis
diagnosis,3,primary,"Chronic airway obstruction, not elsewhere classified"
diagnosis,3,primary,Dysuria
diagnosis,3,primary,Mixed hyperlipidemia
diagnosis,3,primary,Edema
diagnosis,3,primary,Cervicalgia
diagnosis,3,primary,Other chronic pain
diagnosis,3,primary,Unspecified acquired hypothyroidism
diagnosis,3,primary,Dizziness and giddiness
diagnosis,3,primary,Other abnormal glucose
diagnosis,3,primary,Streptococcus pneumoniae [pneumococcus]
diagnosis,3,primary,Long-term (current) use of other medications
diagnosis,3,primary,Acute pharyngitis
diagnosis,3,primary,Unspecified single disease
diagnosis,3,primary,"Breast screening, unspecified"
diagnosis,3,primary,"Anemia, unspecified"
diagnosis,3,primary,Diarrhea
diagnosis,3,primary,"Contact dermatitis and other eczema, unspecified cause"
diagnosis,3,primary,"Major depressive affective disorder, single episode, unspecified"
diagnosis,3,primary,Morbid obesity
diagnosis,3,primary,Chronic pain syndrome
diagnosis,3,primary,"Pain in joint, pelvic region and thigh"
diagnosis,3,primary,Posttraumatic stress disorder
diagnosis,3,primary,"Acute sinusitis, unspecified"
diagnosis,3,primary,Overweight
diagnosis,3,primary,Unspecified sleep apnea
diagnosis,3,primary,Elevated blood pressure reading without diagnosis of hypertension
diagnosis,3,primary,Other abnormal blood chemistry
diagnosis,3,primary,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
diagnosis,3,primary,"Bipolar disorder, unspecified"
diagnosis,3,primary,Disturbance of skin sensation
diagnosis,3,primary,Chronic hepatitis C without mention of hepatic coma
diagnosis,3,primary,"Bronchitis, not specified as acute or chronic"
diagnosis,3,primary,Cervix
diagnosis,3,primary,Other specified counseling
diagnosis,3,primary,Screening for lipoid disorders
diagnosis,3,primary,"Myalgia and myositis, unspecified"
diagnosis,3,primary,Diabetes mellitus
diagnosis,3,primary,Shortness of breath
diagnosis,3,primary,Cellulitis and abscess of unspecified sites
diagnosis,3,primary,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
diagnosis,3,primary,Unspecified disorder of skin and subcutaneous tissue
diagnosis,3,primary,Pure hypercholesterolemia
diagnosis,4,primary,Other and unspecified hyperlipidemia
diagnosis,4,primary,Benign essential hypertension
diagnosis,4,primary,Influenza
diagnosis,4,primary,Unspecified essential hypertension
diagnosis,4,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
diagnosis,4,primary,"Depressive disorder, not elsewhere classified"
diagnosis,4,primary,Dental examination
diagnosis,4,primary,Malignant essential hypertension
diagnosis,4,primary,Acute upper respiratory infections of unspecified site
diagnosis,4,primary,Tobacco use disorder
diagnosis,4,primary,Lumbago
diagnosis,4,primary,Cough
diagnosis,4,primary,"Obesity, unspecified"
diagnosis,4,primary,Esophageal reflux
diagnosis,4,primary,Routine general medical examination at a health care facility
diagnosis,4,primary,Colon
diagnosis,4,primary,Pain in limb
diagnosis,4,primary,"Diphtheria-tetanus-pertussis, combined [DTP] [DTaP]"
diagnosis,4,primary,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
diagnosis,4,primary,"Allergic rhinitis, cause unspecified"
diagnosis,4,primary,"Anxiety state, unspecified"
diagnosis,4,primary,"Pain in joint, lower leg"
diagnosis,4,primary,Other malaise and fatigue
diagnosis,4,primary,"Backache, unspecified"
diagnosis,4,primary,Unspecified vitamin D deficiency
diagnosis,4,primary,"Insomnia, unspecified"
diagnosis,4,primary,Routine gynecological examination
diagnosis,4,primary,Rash and other nonspecific skin eruption
diagnosis,4,primary,"Urinary tract infection, site not specified"
diagnosis,4,primary,"Chest pain, unspecified"
diagnosis,4,primary,Edema
diagnosis,4,primary,"Asthma, unspecified type, unspecified"
diagnosis,4,primary,"Pain in joint, shoulder region"
diagnosis,4,primary,"Chronic kidney disease, Stage III (moderate)"
diagnosis,4,primary,"Anemia, unspecified"
diagnosis,4,primary,"Constipation, unspecified"
diagnosis,4,primary,Headache
diagnosis,4,primary,Streptococcus pneumoniae [pneumococcus]
diagnosis,4,primary,Acute bronchitis
diagnosis,4,primary,"Abdominal pain, unspecified site"
diagnosis,4,primary,"Chronic airway obstruction, not elsewhere classified"
diagnosis,4,primary,Unspecified acquired hypothyroidism
diagnosis,4,primary,Mixed hyperlipidemia
diagnosis,4,primary,"Chronic kidney disease, unspecified"
diagnosis,4,primary,Unspecified single disease
diagnosis,4,primary,Dizziness and giddiness
diagnosis,4,primary,Long-term (current) use of other medications
diagnosis,4,primary,Dysuria
diagnosis,4,primary,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
diagnosis,4,primary,Other chronic pain
diagnosis,4,primary,Cervicalgia
diagnosis,4,primary,Diarrhea
diagnosis,4,primary,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
diagnosis,4,primary,"Contact dermatitis and other eczema, unspecified cause"
diagnosis,4,primary,"Breast screening, unspecified"
diagnosis,4,primary,Other abnormal glucose
diagnosis,4,primary,Acute pharyngitis
diagnosis,4,primary,Morbid obesity
diagnosis,4,primary,Other specified counseling
diagnosis,4,primary,Other abnormal blood chemistry
diagnosis,4,primary,Chronic pain syndrome
